match_id,label,engage_delta,catch_delta,range_delta,tankiness_delta,dpm_delta,synergy_delta,counter_delta
NA1_5518101234,1,1,-1,0,-1354.11210645786,-213.147447207876,-0.2783088644971685,-0.3333333333333333
NA1_5512396167,1,4,2,25,-363.168410801157,463.772788691747,-0.07840396947514025,-0.9077380952380952
NA1_5519323029,0,3,0,-50,-885.190683757487,-152.795583275091,0.25451619056892855,-0.5555555555555556
NA1_5516779037,1,6,2,-825,2034.92612701988,-286.644325442382,-0.02158738662631135,0.577922077922078
NA1_5518676592,1,1,-2,550,-1469.20800857528,56.64298890851,0.2530572988450249,0.6325396825396825
NA1_5488677582,1,6,1,0,-1140.92186005561,-317.67324740353,0.17625439570351337,0.06666666666666667
NA1_5519343778,1,6,4,-1000,979.914693871604,-104.837654433806,-0.19724290904149885,-1.0563492063492064
NA1_5506404398,0,4,-1,-125,1917.15645560686,-505.397104483523,-0.10965673829348356,-0.5346092503987241
NA1_5519093773,0,5,3,475,-28.9254061575102,-321.976633863488,-0.24339173745909337,0.5
NA1_5518456952,0,5,3,-525,517.725156117374,-93.106519789819,-0.1912088077147558,0.0
NA1_5517778220,0,2,0,25,-94.5951743044852,39.563941350506,-0.07181191991214002,-0.1712121212121212
NA1_5519349218,1,4,0,375,-834.87914421291,133.422522757706,-0.15057696632152318,-1.0055555555555555
NA1_5519130497,1,5,0,75,1115.16499155888,-579.773260054236,-0.25116784887434834,-0.4237012987012987
NA1_5519063140,0,6,1,-700,1979.41458573,-185.993206351462,-0.27856316996723346,-0.5555555555555556
NA1_5514081578,1,4,1,-525,978.49803228443,744.428962248465,0.021641341291209096,-0.09653679653679653
NA1_5518063339,0,3,1,500,-477.835996844141,-102.590430883716,-0.07392172355198463,1.1962073744968482
NA1_5519035896,1,5,0,-300,754.55546826925,-141.010771899894,0.3118215443046525,0.17916666666666667
NA1_5518442438,0,5,1,-25,886.640921473223,35.563788310574,-0.04904897731819142,-0.03983516483516483
NA1_5518634769,1,3,0,600,47.3370235873867,-36.313070734621,0.16736411637184723,-0.2924242424242424
NA1_5517069027,0,5,1,300,-256.11303351688,-269.09226918983,-0.26507591293749,1.1696969696969697
NA1_5518568065,0,5,2,-975,1110.564848013,755.299195562363,-0.015102154149255016,0.0
NA1_5488332872,0,4,-1,725,-480.264356791785,-168.062724241113,0.2677818513753619,0.34285714285714286
NA1_5517925913,0,5,1,-50,214.75990359893,746.346472785058,-0.17018493000689566,-0.7444444444444445
NA1_5518826822,0,5,1,-250,260.346462000698,-341.125048825265,-0.21949279554090312,0.6831168831168831
NA1_5519250557,0,5,2,-825,956.740641878147,621.767881926714,0.18102827263211638,-0.08571428571428572
NA1_5519146950,1,6,3,-250,440.408663825782,-22.994466674336,-0.24092602070579805,-0.15
NA1_5517160800,0,5,2,75,1784.14614657589,220.42250822097,-0.09773900585957616,0.40753968253968254
NA1_5513785004,1,5,0,100,-1090.08529585539,200.3807412116,-0.2223926379585776,0.060714285714285714
NA1_5519012787,1,5,0,275,-243.453817443563,-365.608241969034,-0.015626477905948635,-0.5
NA1_5519190031,1,5,0,375,354.797554622261,-350.815352014675,-0.17003101184969824,0.5333333333333333
NA1_5488354783,0,5,2,0,-60.0315178400788,-143.920607502311,-0.07276261354383957,-0.16666666666666666
NA1_5519225588,1,4,-1,-200,-885.203407057646,324.499108632836,-0.1085194372788297,-0.07443609022556391
NA1_5506356077,0,4,0,250,-787.209599048091,96.951418255077,-0.018459292636421258,-1.2873015873015874
NA1_5518492095,1,5,0,350,-221.937297456931,-224.359808586436,-0.18006204463070527,0.5305860805860806
NA1_5517107486,1,5,0,725,-1284.11420978787,306.353301412633,0.13834307757386238,0.2511904761904762
NA1_5519270169,1,4,-1,800,-342.139456210864,-276.844388947814,-0.010204587396207578,-0.32875180375180374
NA1_5519170104,1,4,2,200,-1319.16590155088,87.300141903118,-0.13251810923549506,-0.2222222222222222
NA1_5519216638,1,4,0,0,643.777731970398,156.685348669923,0.021211340671033533,-0.29010989010989013
NA1_5514800297,1,3,2,-300,-1017.30301437011,273.882175906303,-0.11962392474121851,0.1523809523809524
NA1_5519337562,1,6,1,1325,-1210.23613651015,-169.146046083815,0.5606700104671476,0.1
NA1_5518821998,0,4,1,-650,770.357928921865,-775.621178705191,0.10259750143849364,1.5666666666666667
NA1_5518625192,1,5,3,-350,950.766130141546,182.951804611263,-0.061761095246991006,0.0
NA1_5488617239,0,8,1,-325,927.831328440313,134.684249882261,0.16447522707408627,0.6
NA1_5519304449,0,6,2,-75,-768.593112540399,-125.858420555542,0.11051189345311575,-0.02157842157842158
NA1_5507030995,1,2,0,50,-671.253193782409,128.05440477295,-0.0836907871838344,-0.3333333333333333
NA1_5519085238,0,5,0,650,-719.902370608358,-344.358851564651,-0.07652956530340413,-0.0803030303030303
NA1_5519041235,0,4,1,50,-1080.44597584005,186.919823308079,-0.11752055259460799,0.8603174603174604
NA1_5519063692,0,6,-1,-650,826.456472882927,-814.079683306686,-0.09490419044293932,0.09523809523809523
NA1_5519328626,1,3,-2,-450,738.867187596176,44.92633350084,0.14320636892198138,0.03333333333333333
NA1_5518783045,0,5,0,400,410.927256144446,568.571743252178,0.020854874164213496,0.43434343434343436
NA1_5519145155,1,3,-2,350,-129.789867867131,-84.768016414327,-0.1867485965923328,0.444047619047619
NA1_5515871485,1,5,1,500,-641.46170598164,18.080767040485,-0.15590432480198682,0.14285714285714285
NA1_5519178193,0,6,2,175,103.434417255977,610.828343971319,-0.3476041928494278,0.6
NA1_5517263536,0,5,0,125,-20.1874979876766,-633.857579726808,-0.013817790943878612,-0.16813055365686944
NA1_5519142379,1,6,1,425,107.50638904828,549.301407695503,0.05272659017940873,0.13333333333333333
NA1_5517772788,0,4,1,0,274.114045660993,-354.133749914445,0.22499573742540493,-0.37142857142857144
NA1_5518649254,1,5,1,-250,597.11954318944,-876.361678687779,-0.1685016023475193,0.2
NA1_5518783042,0,4,1,50,-1286.05862235729,-574.476140825103,0.11748403902762951,-0.020454545454545454
NA1_5516547649,0,2,0,675,-1025.52275503726,346.807213071306,0.5569687297404688,0.7238095238095238
NA1_5519220067,0,5,2,-125,-521.60055680737,97.564827046058,-0.09396687666992831,-0.32353611300979723
NA1_5519340142,0,4,1,75,-152.076563005454,-465.631311865769,-0.01948635596757496,0.3
NA1_5518846069,1,4,0,-550,-746.235247852603,-273.932349372545,0.21453620442308208,0.44642857142857145
NA1_5509844702,1,5,2,-350,-1275.32900818956,258.202463215661,-0.24643452083482068,0.025
NA1_5517382381,0,7,1,-750,2204.89040914489,-559.064718572558,0.0018537153570469978,0.17893217893217894
NA1_5518802414,0,4,-1,325,-113.196195170236,-344.078967111892,0.38317758830453985,0.12857142857142856
NA1_5505320490,0,5,-2,50,-650.183250379895,-307.981000457924,-0.04197458390894828,-0.16666666666666666
NA1_5487914111,0,0,-2,800,-1819.90059461932,220.568669799001,0.30981488542009483,-0.3542207792207792
NA1_5518967700,0,2,0,-350,-1091.75265731594,475.386010527182,0.22110576124126674,-0.043381180223285486
NA1_5487934647,0,4,-1,600,-424.431608260154,44.207598417912,-0.1513161771989012,-0.06190476190476191
NA1_5487408411,1,4,1,-375,-1273.09701208874,-220.556704416453,0.2605962477266521,0.16703296703296702
NA1_5517166218,0,5,2,-200,1713.19878155045,-111.977472066797,0.08912713146958448,0.13333333333333333
NA1_5517954240,1,5,2,475,-928.391519442145,871.805165694358,0.17501290489095367,-0.55
NA1_5519054340,0,3,0,175,764.873290907161,96.206853421248,0.10245634915292506,-0.8559523809523809
